date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:17	6072/6072	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:f70bb4836b82dc4c5ff2430d876157fa	https://hiking-camping-demo.myshopify.com/collections/new-arrivals.atom	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals.atom	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:19	2550/2550	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:18955d1ecf4ee68f5fb965b8dadb12bc	https://hiking-camping-demo.myshopify.com/collections/new-arrivals.oembed	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals.oembed	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:20	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:20%20GMT	https://hiking-camping-demo.myshopify.com/collections/new-arrivals/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:20	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:20%20GMT	https://hiking-camping-demo.myshopify.com/collections/new-arrivals/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:21	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:21%20GMT	https://hiking-camping-demo.myshopify.com/collections/new-arrivals/products/forclaz-flex-3	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals/products/forclaz-flex-3	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:22	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:21%20GMT	https://hiking-camping-demo.myshopify.com/collections/new-arrivals/products/forclaz-flex-3	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals/products/forclaz-flex-3	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:22	132/132	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:22%20GMT	https://hiking-camping-demo.myshopify.com/collections/new-arrivals/products/waterproof-boot	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals/products/waterproof-boot	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:23	132/132	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:23%20GMT	https://hiking-camping-demo.myshopify.com/collections/new-arrivals/products/waterproof-boot	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals/products/waterproof-boot	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:24	132/132	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:24%20GMT	https://hiking-camping-demo.myshopify.com/collections/new-arrivals/products/gtx-hiking-boot	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals/products/gtx-hiking-boot	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:24	132/132	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:24%20GMT	https://hiking-camping-demo.myshopify.com/collections/new-arrivals/products/gtx-hiking-boot	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/new-arrivals/products/gtx-hiking-boot	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
